ID,Note,Amount,Category,Account,Currency,Date,Event,Exclude Report
1,ส่งไปยัง เครดิตUOB(บัตรหลัก),-31734.71,จ่ายบัตรเครดิต,บัวหลวง (ต่อ),THB,28/04/2026,,True
2,,-25,ข้าวเช้า,บัวหลวง (ต่อ),THB,28/04/2026,,False
3,,-35,ข้าวกลางวัน,บัวหลวง (ต่อ),THB,28/04/2026,,False
4,,-45,ขนม,บัวหลวง (ต่อ),THB,28/04/2026,,False
5,ได้รับจาก บัวหลวง (ต่อ),31734.71,รับค่าชำระบัตรเครดิต,เครดิตUOB(บัตรหลัก),THB,28/04/2026,,True
6,ได้รับจาก กสิกร (ต่อ),2787.51,โอนเงินเข้า,บัวหลวง (ต่อ),THB,27/04/2026,,True
7,,-37,ข้าวเช้า,บัวหลวง (ต่อ),THB,27/04/2026,,False
8,,-35,ข้าวกลางวัน,บัวหลวง (ต่อ),THB,27/04/2026,,False
9,,-60,กีฬา,บัวหลวง (ต่อ),THB,27/04/2026,,False
10,,-20,ขนม,บัวหลวง (ต่อ),THB,27/04/2026,,False
11,,-80,ขนม,บัวหลวง (ต่อ),THB,27/04/2026,,False
12,,-342,ค่าใช้จ่ายอื่นๆ,กสิกร (ต่อ),THB,27/04/2026,,False
13,ส่งไปยัง บัวหลวง (ต่อ),-2787.51,โอนเงินออก,กสิกร (ต่อ),THB,27/04/2026,,True
14,,7109.92,รับค่าชำระบัตรเครดิต,เครดิตกรุงศรี HomePro,THB,27/04/2026,,False
15,ได้รับจาก ไทยพาณิชย์ (ซัน),4844.92,โอนเงินเข้า,กสิกร(ซัน),THB,27/04/2026,,True
16,,-7109.92,จ่ายบัตรเครดิต,กสิกร(ซัน),THB,27/04/2026,,False
17,,1000,โอนเงินเข้า,สหกรณ์ มช.(หุ้น),THB,27/04/2026,,False
18,,-8,ค่าธรรมเนียม & ค่าบริการ,ไทยพาณิชย์ (ซัน),THB,27/04/2026,,False
19,OT,8300,เงินเดือน,ไทยพาณิชย์ (ซัน),THB,27/04/2026,,False
20,,6878.85,เงินเดือน,ไทยพาณิชย์ (ซัน),THB,27/04/2026,,False
21,ส่งไปยัง กสิกร(ซัน),-4844.92,โอนเงินออก,ไทยพาณิชย์ (ซัน),THB,27/04/2026,,True
22,ส่งไปยัง InnovestX(หุ้น),-1000,โอนเงินออก,ไทยพาณิชย์ (ซัน),THB,27/04/2026,,True
23,ส่งไปยัง สหกรณ์ มช.(บัญชี),-4000,โอนเงินออก,ไทยพาณิชย์ (ซัน),THB,27/04/2026,,True
24,บ้านหางดง,-26.34,ค่าไฟฟ้า,ไทยพาณิชย์ (ซัน),THB,27/04/2026,,False
25,หอ,-24,ค่าไฟฟ้า,ไทยพาณิชย์ (ซัน),THB,27/04/2026,,False
26,Amazon,-60,คาเฟ่,ไทยพาณิชย์ (ซัน),THB,27/04/2026,,False
27,,-35,ข้าวเย็น,ไทยพาณิชย์ (ซัน),THB,27/04/2026,,False
28,,-17,ของใช้ส่วนตัว,ไทยพาณิชย์ (ซัน),THB,27/04/2026,,False
29,,-80,ค่าส่วนกลางวอร์ด,ไทยพาณิชย์ (ซัน),THB,27/04/2026,,False
30,,8,เงินดอกเบี้ย,สหกรณ์ มช.(บัญชี),THB,27/04/2026,,False
31,,1000,โอนเงินเข้า,สหกรณ์ มช.(บัญชี),THB,27/04/2026,,False
32,ได้รับจาก ไทยพาณิชย์ (ซัน),4000,โอนเงินเข้า,สหกรณ์ มช.(บัญชี),THB,27/04/2026,,True
33,ได้รับจาก ไทยพาณิชย์ (ซัน),1000,โอนเงินเข้า,InnovestX(หุ้น),THB,27/04/2026,,True
34,,-2434.26,ค่าไฟฟ้า,บัวหลวง (ต่อ),THB,26/04/2026,,False
35,,-170,ข้าวเย็น,บัวหลวง (ต่อ),THB,26/04/2026,,False
36,,-150,กีฬา,บัวหลวง (ต่อ),THB,26/04/2026,,False
37,,-500,น้ำมันรถ,กสิกร (ต่อ),THB,26/04/2026,,False
38,,-174,ขนม,กสิกร (ต่อ),THB,26/04/2026,,False
39,,-799,ค่าAI,เครดิตUOB(บัตรหลัก),THB,26/04/2026,,False
40,,-6332.2,ค่าโรงแรม,เครดิตUOB(บัตรหลัก),THB,26/04/2026,,False
41,Oatmilk | Bleach | Fruit,-298,ของทำกับข้าว,เครดิตกรุงศรี Central,THB,26/04/2026,,False
42,ได้รับจาก ไทยพาณิชย์ (ซัน),298,โอนเงินเข้า,กสิกร(ซัน),THB,26/04/2026,,True
43,ส่งไปยัง กสิกร(ซัน),-298,โอนเงินออก,ไทยพาณิชย์ (ซัน),THB,26/04/2026,,True
44,สมดุล,-85,คาเฟ่,ไทยพาณิชย์ (ซัน),THB,26/04/2026,,False
45,ไม้แขวนเสื้อ,-88,ของใช้ภายในบ้าน,ไทยพาณิชย์ (ซัน),THB,26/04/2026,,False
46,ได้รับจาก กสิกร (ต่อ),100,โอนเงินเข้า,True (ต่อ),THB,25/04/2026,,True
47,ส่งไปยัง True (ต่อ),-100,โอนเงินออก,กสิกร (ต่อ),THB,25/04/2026,,True
48,,-273,ข้าวเย็น,กสิกร (ต่อ),THB,25/04/2026,เที่ยวกรุงเทพ,False
49,,-164,ซื้อของ7,True (ต่อ),THB,25/04/2026,,False
50,,-56,การเดินทาง,ไทยพาณิชย์ (ซัน),THB,25/04/2026,เที่ยวกรุงเทพ,False
51,,-90,การเดินทาง,ไทยพาณิชย์ (ซัน),THB,25/04/2026,เที่ยวกรุงเทพ,False
52,,-500,ค่าที่จอดรถ,ไทยพาณิชย์ (ซัน),THB,25/04/2026,เที่ยวกรุงเทพ,False
53,Starbuck,-215,คาเฟ่,ไทยพาณิชย์ (ซัน),THB,25/04/2026,เที่ยวกรุงเทพ,False
54,,-56,การเดินทาง,กสิกร (ต่อ),THB,24/04/2026,เที่ยวกรุงเทพ,False
55,,-90,การเดินทาง,กสิกร (ต่อ),THB,24/04/2026,เที่ยวกรุงเทพ,False
56,,-50,การเดินทาง,กสิกร (ต่อ),THB,24/04/2026,เที่ยวกรุงเทพ,False
57,,-264,ค่าใช้จ่ายอื่นๆ,กสิกร (ต่อ),THB,24/04/2026,เที่ยวกรุงเทพ,False
58,,-120,ค่าใช้จ่ายอื่นๆ,กสิกร (ต่อ),THB,24/04/2026,เที่ยวกรุงเทพ,False
59,,-160,คาเฟ่,กสิกร (ต่อ),THB,24/04/2026,เที่ยวกรุงเทพ,False
60,,-400,เสื้อผ้า,กสิกร (ต่อ),THB,24/04/2026,เที่ยวกรุงเทพ,False
61,,-1350,เสื้อผ้า,กสิกร (ต่อ),THB,24/04/2026,เที่ยวกรุงเทพ,False
62,,-159,ข้าวเช้า,กสิกร (ต่อ),THB,24/04/2026,เที่ยวกรุงเทพ,False
63,,-245,ข้าวกลางวัน,กสิกร (ต่อ),THB,24/04/2026,เที่ยวกรุงเทพ,False
64,,-150,ข้าวกลางวัน,กสิกร (ต่อ),THB,24/04/2026,เที่ยวกรุงเทพ,False
65,,-1450,ของเล่น,กสิกร (ต่อ),THB,24/04/2026,เที่ยวกรุงเทพ,False
66,,2939.58,โอนเงินเข้า,เครดิตUOB(บัตรหลัก),THB,24/04/2026,,False
67,,-72,ซื้อของ7,true (ซัน),THB,24/04/2026,เที่ยวกรุงเทพ,False
68,Jone's salad,-671,ร้านอาหาร,ไทยพาณิชย์ (ซัน),THB,24/04/2026,เที่ยวกรุงเทพ,False
69,Inthanin,-75,คาเฟ่,ไทยพาณิชย์ (ซัน),THB,24/04/2026,เที่ยวกรุงเทพ,False
70,อะเมซอน,-55,คาเฟ่,ไทยพาณิชย์ (ซัน),THB,24/04/2026,เที่ยวกรุงเทพ,False
71,น้ำเปล่า,-10,ข้าวเช้า,ไทยพาณิชย์ (ซัน),THB,24/04/2026,เที่ยวกรุงเทพ,False
72,ได้รับจาก กสิกร (ต่อ),200,โอนเงินเข้า,True (ต่อ),THB,23/04/2026,,True
73,เนื้อแท้,-747,ร้านอาหาร,กสิกร (ต่อ),THB,23/04/2026,เที่ยวกรุงเทพ,False
74,,-436,ร้านอาหาร,กสิกร (ต่อ),THB,23/04/2026,เที่ยวกรุงเทพ,False
75,,-532,ร้านอาหาร,กสิกร (ต่อ),THB,23/04/2026,เที่ยวกรุงเทพ,False
76,,-85,คาเฟ่,กสิกร (ต่อ),THB,23/04/2026,เที่ยวกรุงเทพ,False
77,ส่งไปยัง True (ต่อ),-200,โอนเงินออก,กสิกร (ต่อ),THB,23/04/2026,,True
78,,-82,ซื้อของ7,True (ต่อ),THB,23/04/2026,เที่ยวกรุงเทพ,False
79,,-6332,ค่าโรงแรม,เครดิตUOB(บัตรหลัก),THB,23/04/2026,เที่ยวกรุงเทพ,False
80,,-146,การเดินทาง,ไทยพาณิชย์ (ซัน),THB,23/04/2026,เที่ยวกรุงเทพ,False
81,Shift,4250,เงินเดือน,ไทยพาณิชย์ (ซัน),THB,23/04/2026,,False
82,,-1908,เสื้อผ้า,ไทยพาณิชย์ (ซัน),THB,23/04/2026,เที่ยวกรุงเทพ,False
83,,-500,เสื้อผ้า,ไทยพาณิชย์ (ซัน),THB,23/04/2026,เที่ยวกรุงเทพ,False
84,Fugu matcha,-115,คาเฟ่,ไทยพาณิชย์ (ซัน),THB,23/04/2026,เที่ยวกรุงเทพ,False
85,Oh juice,-240,คาเฟ่,ไทยพาณิชย์ (ซัน),THB,23/04/2026,เที่ยวกรุงเทพ,False
86,Chagee,-115,คาเฟ่,ไทยพาณิชย์ (ซัน),THB,23/04/2026,เที่ยวกรุงเทพ,False
87,,-110,ค่าใช้จ่ายอื่นๆ,บัวหลวง (ต่อ),THB,22/04/2026,,False
88,,-74,ข้าวเช้า,บัวหลวง (ต่อ),THB,22/04/2026,,False
89,,-35,ข้าวกลางวัน,บัวหลวง (ต่อ),THB,22/04/2026,,False
90,,-70,ขนม,บัวหลวง (ต่อ),THB,22/04/2026,,False
91,น้ำผลไม้,-218,ของทำกับข้าว,เครดิตกรุงศรี Central,THB,22/04/2026,,False
92,ได้รับจาก ไทยพาณิชย์ (ซัน),200,เงินเดือน,true (ซัน),THB,22/04/2026,,True
93,,-158,ซื้อของ7,true (ซัน),THB,22/04/2026,,False
94,,-55,ข้าว7,true (ซัน),THB,22/04/2026,,False
95,ได้รับจาก ไทยพาณิชย์ (ซัน),218,โอนเงินเข้า,กสิกร(ซัน),THB,22/04/2026,,True
96,ส่งไปยัง true (ซัน),-200,โอนเงินออก,ไทยพาณิชย์ (ซัน),THB,22/04/2026,,True
97,ส่งไปยัง กสิกร(ซัน),-218,โอนเงินออก,ไทยพาณิชย์ (ซัน),THB,22/04/2026,,True
98,,-140,ข้าวเย็น,ไทยพาณิชย์ (ซัน),THB,22/04/2026,,False
99,,-101,ของใช้ภายในบ้าน,บัวหลวง (ต่อ),THB,22/04/2026,,False
100,ได้รับจาก กสิกร(ซัน),4680.5,โอนเงินเข้า,บัวหลวง (ต่อ),THB,21/04/2026,,True
101,,-35,ข้าวกลางวัน,บัวหลวง (ต่อ),THB,21/04/2026,,False
102,,-40,ขนม,บัวหลวง (ต่อ),THB,21/04/2026,,False
103,,883.5,รับค่าชำระบัตรเครดิต,เครดิตกรุงศรี Central,THB,21/04/2026,,False
104,โฮลวีท | กล้วยหอม | Purra,-52,ข้าว7,true (ซัน),THB,21/04/2026,,False
105,ส่งไปยัง บัวหลวง (ต่อ),-4680.5,โอนเงินออก,กสิกร(ซัน),THB,21/04/2026,,True
106,Central,-883.5,จ่ายบัตรเครดิต,กสิกร(ซัน),THB,21/04/2026,,False
107,,-40,ข้าวกลางวัน,ไทยพาณิชย์ (ซัน),THB,21/04/2026,,False
108,,-160,ข้าวเย็น,ไทยพาณิชย์ (ซัน),THB,21/04/2026,,False
109,,-1000,ตัดผม,ไทยพาณิชย์ (ซัน),THB,21/04/2026,,False
110,ได้รับจาก กสิกร (ต่อ),100,โอนเงินเข้า,True (ต่อ),THB,20/04/2026,,True
111,ส่งไปยัง True (ต่อ),-100,โอนเงินออก,กสิกร (ต่อ),THB,20/04/2026,,True
112,,-69,ซื้อของ7,True (ต่อ),THB,20/04/2026,,False
113,,-28,ซื้อของ7,True (ต่อ),THB,20/04/2026,,False
114,,-500,น้ำมันรถ,เครดิตUOB(บัตรหลัก),THB,20/04/2026,,False
115,ได้รับจาก ไทยพาณิชย์ (ซัน),200,โอนเงินเข้า,true (ซัน),THB,20/04/2026,,True
116,Protein,-98,ข้าว7,true (ซัน),THB,20/04/2026,,False
117,Top up,3000,เงินเดือน,ไทยพาณิชย์ (ซัน),THB,20/04/2026,,False
118,ส่งไปยัง true (ซัน),-200,โอนเงินออก,ไทยพาณิชย์ (ซัน),THB,20/04/2026,,True
119,อะเมซอน,-125,คาเฟ่,ไทยพาณิชย์ (ซัน),THB,20/04/2026,,False
120,น้ำเปล่า,-8,ขนม,ไทยพาณิชย์ (ซัน),THB,20/04/2026,,False
121,,-48,ผลไม้,ไทยพาณิชย์ (ซัน),THB,20/04/2026,,False
122,,16200,โอนเงินเข้า,บัวหลวง (ต่อ),THB,19/04/2026,,False
123,ได้รับจาก กสิกร (ต่อ),100,โอนเงินเข้า,True (ต่อ),THB,19/04/2026,,True
124,Chawan,-450,ช้อปปิ้ง,กสิกร (ต่อ),THB,19/04/2026,,False
125,ส่งไปยัง True (ต่อ),-100,โอนเงินออก,กสิกร (ต่อ),THB,19/04/2026,,True
126,,-62,ซื้อของ7,True (ต่อ),THB,19/04/2026,,False
127,ของเล่นหลาน,-150,ครอบครัว,ไทยพาณิชย์ (ซัน),THB,19/04/2026,,False
128,,-40,ครอบครัว,ไทยพาณิชย์ (ซัน),THB,19/04/2026,,False
129,,-20,ค่าโทรศัพท์,ไทยพาณิชย์ (ซัน),THB,19/04/2026,,False
130,อรุณสวัสดิ์,-145,คาเฟ่,ไทยพาณิชย์ (ซัน),THB,19/04/2026,,False
131,GAGA,-145,คาเฟ่,ไทยพาณิชย์ (ซัน),THB,19/04/2026,,False
132,,-37,ข้าวเช้า,บัวหลวง (ต่อ),THB,18/04/2026,,False
133,,-32,ข้าวกลางวัน,บัวหลวง (ต่อ),THB,18/04/2026,,False
134,,-50,ขนม,บัวหลวง (ต่อ),THB,18/04/2026,,False
135,,-500,น้ำมันรถ,เครดิตUOB(บัตรหลัก),THB,18/04/2026,,False
136,ได้รับจาก ไทยพาณิชย์ (ซัน),200,โอนเงินเข้า,true (ซัน),THB,18/04/2026,,True
137,,-120,ข้าว7,true (ซัน),THB,18/04/2026,,False
138,,-230,ครอบครัว,ไทยพาณิชย์ (ซัน),THB,18/04/2026,,False
139,ส่งไปยัง true (ซัน),-200,โอนเงินออก,ไทยพาณิชย์ (ซัน),THB,18/04/2026,,True
140,น้ำฟิตเนส,-15,ขนม,ไทยพาณิชย์ (ซัน),THB,18/04/2026,,False
141,,-37,ข้าวเช้า,บัวหลวง (ต่อ),THB,17/04/2026,,False
142,,-35,ข้าวกลางวัน,บัวหลวง (ต่อ),THB,17/04/2026,,False
143,,-45,ขนม,บัวหลวง (ต่อ),THB,17/04/2026,,False
144,,-129,ล้างรถ,กสิกร (ต่อ),THB,17/04/2026,,False
145,,-45,คาเฟ่,ไทยพาณิชย์ (ซัน),THB,17/04/2026,,False
146,,-60,ข้าวเช้า,ไทยพาณิชย์ (ซัน),THB,17/04/2026,,False
147,,-120,ผลไม้,ไทยพาณิชย์ (ซัน),THB,17/04/2026,,False
148,,-299,ร้านอาหาร,บัวหลวง (ต่อ),THB,16/04/2026,,False
149,,-170,กีฬา,บัวหลวง (ต่อ),THB,16/04/2026,,False
150,Cold brew green tea,-30,ข้าว7,true (ซัน),THB,16/04/2026,,False
151,,-77,คาเฟ่,ไทยพาณิชย์ (ซัน),THB,16/04/2026,,False
152,Lotus,-190,ของใช้ภายในบ้าน,เครดิตUOB(บัตรหลัก),THB,16/04/2026,,False
153,พี่แมว,-11200,การรักษาพยาบาล,เครดิตUOB(บัตรหลัก),THB,15/04/2026,,False
154,SS insurance 4/10,-2281.03,ประกันภัย,เครดิตกรุงศรี HomePro,THB,15/04/2026,,False
155,Garmin 6/10,-1131.9,shoppe,เครดิตกรุงศรี HomePro,THB,15/04/2026,,False
156,,-260,ครอบครัว,ไทยพาณิชย์ (ซัน),THB,15/04/2026,,False
157,,-115,คาเฟ่,ไทยพาณิชย์ (ซัน),THB,15/04/2026,,False
158,,-20,ขนม,ไทยพาณิชย์ (ซัน),THB,15/04/2026,,False
159,ข้าว | Jele | IF | Yogurt,-92,ข้าว7,true (ซัน),THB,14/04/2026,,False
160,,-75,คาเฟ่,ไทยพาณิชย์ (ซัน),THB,14/04/2026,,False
161,,-164,คาเฟ่,ไทยพาณิชย์ (ซัน),THB,14/04/2026,,False
162,,-60,ข้าวกลางวัน,ไทยพาณิชย์ (ซัน),THB,14/04/2026,,False
163,,-100,คาเฟ่,ไทยพาณิชย์ (ซัน),THB,13/04/2026,,False
164,,-89,ข้าวกลางวัน,ไทยพาณิชย์ (ซัน),THB,13/04/2026,,False
165,,-140,ขนม,ไทยพาณิชย์ (ซัน),THB,13/04/2026,,False
166,,-480,ร้านอาหาร,กสิกร (ต่อ),THB,12/04/2026,,False
167,KFC,-258,ร้านอาหาร,กสิกร (ต่อ),THB,12/04/2026,,False
168,Minimal,-125,ข้าวgrab,เครดิตUOB(บัตรหลัก),THB,12/04/2026,,False
169,Yogurt | Jele,-37,ข้าว7,true (ซัน),THB,12/04/2026,,False
170,,-254,ครอบครัว,ไทยพาณิชย์ (ซัน),THB,12/04/2026,,False
171,,-110,คาเฟ่,ไทยพาณิชย์ (ซัน),THB,12/04/2026,,False
172,,-20,ขนม,ไทยพาณิชย์ (ซัน),THB,12/04/2026,,False
173,,-108.5,ค่าน้ำประปา,บัวหลวง (ต่อ),THB,11/04/2026,,False
174,,-206,ข้าวเย็น,บัวหลวง (ต่อ),THB,11/04/2026,,False
175,,-424.5,ของทำกับข้าว,กสิกร (ต่อ),THB,11/04/2026,,False
176,,-500,น้ำมันรถ,เครดิตUOB(บัตรหลัก),THB,11/04/2026,,False
177,ได้รับจาก ไทยพาณิชย์ (ซัน),261,โอนเงินเข้า,กสิกร(ซัน),THB,11/04/2026,,True
178,ส่งไปยัง กสิกร(ซัน),-261,โอนเงินออก,ไทยพาณิชย์ (ซัน),THB,11/04/2026,,True
179,,-19,ค่าน้ำประปา,ไทยพาณิชย์ (ซัน),THB,11/04/2026,,False
180,,-55,คาเฟ่,ไทยพาณิชย์ (ซัน),THB,11/04/2026,,False
181,,-230,ข้าวเช้า,ไทยพาณิชย์ (ซัน),THB,11/04/2026,,False
182,,-50,ขนม,ไทยพาณิชย์ (ซัน),THB,11/04/2026,,False
183,,-37,ข้าวเช้า,บัวหลวง (ต่อ),THB,10/04/2026,,False
184,,-32,ข้าวกลางวัน,บัวหลวง (ต่อ),THB,10/04/2026,,False
185,,-70,ขนม,บัวหลวง (ต่อ),THB,10/04/2026,,False
186,,-174,ข้าวgrab,เครดิตUOB(บัตรหลัก),THB,10/04/2026,,False
187,,-35,ข้าวเช้า,ไทยพาณิชย์ (ซัน),THB,10/04/2026,,False
188,,-87,grabเดินทาง,เครดิตUOB(บัตรหลัก),THB,10/04/2026,,False
189,ถุงขยะ,-200,ของใช้ภายในบ้าน,ไทยพาณิชย์ (ซัน),THB,10/04/2026,,False
190,,-37,ข้าวเช้า,บัวหลวง (ต่อ),THB,09/04/2026,,False
191,,-35,ข้าวกลางวัน,บัวหลวง (ต่อ),THB,09/04/2026,,False
192,,-20,ข้าวเย็น,บัวหลวง (ต่อ),THB,09/04/2026,,False
193,,-160,กีฬา,บัวหลวง (ต่อ),THB,09/04/2026,,False
194,,-42,ขนม,บัวหลวง (ต่อ),THB,09/04/2026,,False
195,,-29,ซื้อของ7,true (ซัน),THB,09/04/2026,,False
196,Sanwish | Purra,-33,ข้าว7,true (ซัน),THB,09/04/2026,,False
197,,-98,เพื่อน & คนรัก,เครดิตกรุงศรี HomePro,THB,09/04/2026,,False
198,,-70,คาเฟ่,ไทยพาณิชย์ (ซัน),THB,09/04/2026,,False
199,,-55,ข้าวกลางวัน,ไทยพาณิชย์ (ซัน),THB,09/04/2026,,False
200,,-80,ข้าวเย็น,ไทยพาณิชย์ (ซัน),THB,09/04/2026,,False
201,,-29,ขนม,ไทยพาณิชย์ (ซัน),THB,09/04/2026,,False
202,น้ำฟิตเนส,-15,ขนม,ไทยพาณิชย์ (ซัน),THB,09/04/2026,,False
203,ส่งไปยัง เงินลงทุน(หุ้น),-10265,การลงทุน,บัวหลวง (ต่อ),THB,08/04/2026,,True
204,,-37,ข้าวเช้า,บัวหลวง (ต่อ),THB,08/04/2026,,False
205,,-32,ข้าวกลางวัน,บัวหลวง (ต่อ),THB,08/04/2026,,False
206,,-55,ข้าวเย็น,บัวหลวง (ต่อ),THB,08/04/2026,,False
207,,-42,ขนม,บัวหลวง (ต่อ),THB,08/04/2026,,False
208,ได้รับจาก บัวหลวง (ต่อ),10265,โอนเงินเข้า,เงินลงทุน(หุ้น),THB,08/04/2026,,True
209,,-948,ค่าอินเตอร์เน็ต,เครดิตUOB(บัตรหลัก),THB,08/04/2026,,False
210,ได้รับจาก ไทยพาณิชย์ (ซัน),200,โอนเงินเข้า,true (ซัน),THB,08/04/2026,,True
211,ส่งไปยัง true (ซัน),-200,โอนเงินออก,ไทยพาณิชย์ (ซัน),THB,08/04/2026,,True
212,,-90,น้ำมันรถ,ไทยพาณิชย์ (ซัน),THB,08/04/2026,,False
213,,-50,คาเฟ่,ไทยพาณิชย์ (ซัน),THB,08/04/2026,,False
214,,-30,ข้าวกลางวัน,ไทยพาณิชย์ (ซัน),THB,08/04/2026,,False
215,,-45,ข้าวเย็น,ไทยพาณิชย์ (ซัน),THB,08/04/2026,,False
216,,-60,ผลไม้,ไทยพาณิชย์ (ซัน),THB,08/04/2026,,False
217,,-37,ข้าวเช้า,บัวหลวง (ต่อ),THB,07/04/2026,,False
218,,-30,ข้าวกลางวัน,บัวหลวง (ต่อ),THB,07/04/2026,,False
219,,-25,ข้าวเย็น,บัวหลวง (ต่อ),THB,07/04/2026,,False
220,,-42,ขนม,บัวหลวง (ต่อ),THB,07/04/2026,,False
221,,-285,ปาตี้,กสิกร (ต่อ),THB,07/04/2026,,False
222,Buff,-329,ของใช้ส่วนตัว,เครดิตUOB(บัตรหลัก),THB,07/04/2026,,False
223,ได้รับจาก ไทยพาณิชย์ (ซัน),200,โอนเงินเข้า,true (ซัน),THB,07/04/2026,,True
224,ward,-232,ข้าว7,true (ซัน),THB,07/04/2026,,False
225,ได้รับจาก ไทยพาณิชย์ (ซัน),450,โอนเงินเข้า,กสิกร(ซัน),THB,07/04/2026,,True
226,7-11,115,การชำระเงิน,ไทยพาณิชย์ (ซัน),THB,07/04/2026,,False
227,ส่งไปยัง true (ซัน),-200,โอนเงินออก,ไทยพาณิชย์ (ซัน),THB,07/04/2026,,True
228,ส่งไปยัง กสิกร(ซัน),-450,โอนเงินออก,ไทยพาณิชย์ (ซัน),THB,07/04/2026,,True
229,,-45,ข้าวกลางวัน,ไทยพาณิชย์ (ซัน),THB,07/04/2026,,False
230,,-47,grabเดินทาง,เครดิตUOB(บัตรหลัก),THB,07/04/2026,,False
231,,-74,grabเดินทาง,เครดิตUOB(บัตรหลัก),THB,07/04/2026,,False
232,,-25,ข้าวเช้า,บัวหลวง (ต่อ),THB,06/04/2026,,False
233,,-30,ข้าวกลางวัน,บัวหลวง (ต่อ),THB,06/04/2026,,False
234,,-100,ข้าวเย็น,บัวหลวง (ต่อ),THB,06/04/2026,,False
235,,-150,กีฬา,บัวหลวง (ต่อ),THB,06/04/2026,,False
236,,-60,ขนม,บัวหลวง (ต่อ),THB,06/04/2026,,False
237,,-500,น้ำมันรถ,เครดิตUOB(บัตรหลัก),THB,06/04/2026,,False
238,,-20,ข้าว7,true (ซัน),THB,06/04/2026,,False
239,Chatramue,-65,คาเฟ่,ไทยพาณิชย์ (ซัน),THB,06/04/2026,,False
240,,-70,ข้าวกลางวัน,ไทยพาณิชย์ (ซัน),THB,06/04/2026,,False
241,,-116,ข้าวเย็น,ไทยพาณิชย์ (ซัน),THB,06/04/2026,,False
242,,54302.56,เงินเดือน,บัวหลวง (ต่อ),THB,05/04/2026,,False
243,,265,รายได้อื่นๆ,บัวหลวง (ต่อ),THB,05/04/2026,,False
244,,887,รายได้อื่นๆ,บัวหลวง (ต่อ),THB,05/04/2026,,False
245,ส่งไปยัง กสิกร (ต่อ),-14440,โอนเงินออก,บัวหลวง (ต่อ),THB,05/04/2026,,True
246,ประกันรถ,-880,จ่ายบัตรเครดิต,บัวหลวง (ต่อ),THB,05/04/2026,,False
247,ส่งไปยัง เครดิตUOB,-33547.68,จ่ายบัตรเครดิต,บัวหลวง (ต่อ),THB,05/04/2026,,True
248,,-99,ข้าวเย็น,บัวหลวง (ต่อ),THB,05/04/2026,,False
249,,-690,shoppe,บัวหลวง (ต่อ),THB,05/04/2026,,False
250,,-293.35,ช้อปปิ้ง,กสิกร (ต่อ),THB,05/04/2026,,False
251,,-17,ค่าใช้จ่ายอื่นๆ,กสิกร (ต่อ),THB,05/04/2026,,False
252,,-988.6,ร้านอาหาร,กสิกร (ต่อ),THB,05/04/2026,,False
253,,-400,ค่าส่วนกลางหมู่บ้าน,กสิกร (ต่อ),THB,05/04/2026,,False
254,ได้รับจาก บัวหลวง (ต่อ),14440,โอนเงินเข้า,กสิกร (ต่อ),THB,05/04/2026,,True
255,ได้รับจาก บัวหลวง (ต่อ),33547.68,รับค่าชำระบัตรเครดิต,เครดิตUOB(บัตรหลัก),THB,05/04/2026,,True
256,,-126,ข้าว7,true (ซัน),THB,05/04/2026,,False
257,ส่งไปยัง สหกรณ์ มช.(บัญชี),-13000,โอนเงินออก,กสิกร เงินเก็บ,THB,05/04/2026,,True
258,,-8,ค่าธรรมเนียม & ค่าบริการ,ไทยพาณิชย์ (ซัน),THB,05/04/2026,,False
259,,-95,คาเฟ่,ไทยพาณิชย์ (ซัน),THB,05/04/2026,,False
260,ได้รับจาก กสิกร เงินเก็บ,13000,โอนเงินเข้า,สหกรณ์ มช.(บัญชี),THB,05/04/2026,,True
261,ได้รับจาก ไทยพาณิชย์ (ซัน),1000,โอนเงินเข้า,InnovestX(หุ้น),THB,05/04/2026,,True
262,,-60,คาเฟ่,บัวหลวง (ต่อ),THB,04/04/2026,,False
263,,-60,ข้าวเช้า,บัวหลวง (ต่อ),THB,04/04/2026,,False
264,,-150,กีฬา,บัวหลวง (ต่อ),THB,04/04/2026,,False
265,LaRoche | Parfum,-466,ของใช้ส่วนตัว,เครดิตกรุงศรี HomePro,THB,04/04/2026,,False
266,ส่งไปยัง InnovestX(หุ้น),-1000,โอนเงินออก,ไทยพาณิชย์ (ซัน),THB,04/04/2026,,True
267,Amazon,-55,คาเฟ่,ไทยพาณิชย์ (ซัน),THB,04/04/2026,,False
268,น้ำฟิตเนส,-15,ขนม,ไทยพาณิชย์ (ซัน),THB,04/04/2026,,False
269,,-279,ร้านอาหาร,เครดิตUOB(บัตรหลัก),THB,03/04/2026,,False
270,,-830,น้ำมันรถ,เครดิตUOB(บัตรหลัก),THB,03/04/2026,,False
271,Sanwish | Purra,-36,ข้าว7,true (ซัน),THB,03/04/2026,,False
272,ได้รับจาก ไทยพาณิชย์ (ซัน),7000,โอนเงินเข้า,กสิกร(ซัน),THB,03/04/2026,,True
273,ส่งไปยัง กสิกร(ซัน),-7000,โอนเงินออก,ไทยพาณิชย์ (ซัน),THB,03/04/2026,,True
274,,-9,คาเฟ่,ไทยพาณิชย์ (ซัน),THB,03/04/2026,,False
275,,-50,ข้าวเช้า,ไทยพาณิชย์ (ซัน),THB,03/04/2026,,False
